SIC,NAICS
111,111140
112,111160
115,111150
116,111110
119,111120
119,111130
119,111150
119,111191
119,111199
131,111920
132,111910
133,111930
133,111991
134,111211
139,111199
139,111211
139,111219
139,111940
139,111992
139,111998
139,112519
161,111211
161,111219
171,111333
171,111334
172,111332
173,111335
174,111310
174,111320
175,111331
175,111339
179,111336
179,111339
181,111421
181,111422
182,111411
182,111419
191,111998
191,112519
211,112112
212,112111
213,112210
214,112410
214,112420
219,112990
241,112111
241,112120
251,112320
252,112310
253,112330
254,112340
259,112390
271,112930
272,112920
273,112511
273,112512
273,112519
279,112519
279,112910
279,112990
291,112990
711,115112
721,115112
722,115113
723,115114
723,311119
724,115111
741,541940
742,541940
751,115210
751,311611
752,115210
752,812910
761,115115
762,115116
781,541320
781,541690
782,561730
783,561730
811,111421
811,113110
831,111998
831,112519
831,113210
851,115310
912,114111
913,114112
919,111998
919,112512
919,112519
919,114112
919,114119
921,112511
921,112512
971,114210
1011,212210
1021,212230
1031,212230
1041,212221
1044,212222
1061,212230
1061,212299
1081,213114
1081,238910
1081,541360
1094,212291
1099,212299
1221,212111
1222,212112
1231,212113
1241,213113
1241,238910
1311,211120
1321,211130
1381,213111
1382,213112
1382,541360
1389,213112
1389,237120
1389,238910
1411,212311
1422,212312
1423,212313
1429,212319
1442,212321
1446,212322
1455,212324
1459,212325
1474,212391
1475,212392
1479,212393
1481,213115
1481,238910
1481,541360
1499,212319
1499,212399
1521,236115
1521,236118
1522,236116
1522,236118
1522,236220
1531,236117
1531,236118
1531,236210
1531,236220
1541,236210
1541,236220
1542,236220
1611,237310
1622,237310
1622,237990
1623,237110
1623,237120
1623,237130
1629,236210
1629,237110
1629,237120
1629,237130
1629,237990
1629,238910
1711,238210
1711,238220
1711,238910
1721,237310
1721,238320
1731,238210
1741,238140
1742,238310
1743,238310
1743,238340
1751,238130
1751,238350
1752,238310
1752,238330
1761,238160
1761,238170
1761,238390
1771,238110
1771,238140
1771,238990
1781,237110
1791,238120
1791,238190
1791,238220
1791,238310
1793,238150
1794,238910
1795,238910
1796,238220
1796,238290
1799,236220
1799,237990
1799,238150
1799,238190
1799,238290
1799,238310
1799,238320
1799,238350
1799,238390
1799,238910
1799,238990
1799,561790
1799,562910
2011,311611
2013,311612
2013,311613
2015,311615
2015,311999
2021,311512
2022,311513
2023,311511
2023,311514
2024,311520
2026,311511
2026,311514
2032,311422
2032,311999
2033,311421
2034,311211
2034,311423
2034,311999
2035,311421
2035,311941
2037,311411
2038,311412
2041,311211
2043,311230
2043,311920
2044,311212
2045,311824
2046,311221
2046,311225
2047,311111
2048,311119
2048,311611
2051,311812
2052,311812
2052,311821
2052,311919
2053,311813
2061,311314
2062,311314
2063,311313
2064,311340
2064,311352
2066,311351
2066,311352
2067,311340
2068,311911
2074,311224
2074,311225
2075,311224
2075,311225
2076,311224
2076,311225
2077,311613
2077,311710
2077,311710
2079,311224
2079,311224
2079,311225
2082,311942
2082,312120
2083,311213
2084,312130
2085,312130
2085,312140
2086,312111
2086,312112
2087,311920
2087,311930
2087,311942
2087,311999
2091,311710
2092,311710
2095,311920
2096,311919
2097,312113
2098,311824
2099,111998
2099,112519
2099,311212
2099,311340
2099,311423
2099,311824
2099,311830
2099,311911
2099,311920
2099,311941
2099,311942
2099,311991
2099,311999
2111,312230
2121,312230
2131,312230
2141,312230
2141,312230
2211,313210
2221,313210
2231,313210
2231,313310
2231,313310
2241,313220
2251,313310
2251,315110
2252,313310
2252,315110
2252,315110
2253,313310
2253,315190
2253,315190
2254,313310
2254,315190
2257,313240
2257,313310
2258,313240
2258,313310
2259,313240
2259,313240
2259,313310
2259,315190
2259,315190
2261,313310
2262,313310
2269,313310
2269,313310
2273,314110
2281,313110
2282,313110
2284,313110
2284,313310
2295,313320
2296,314994
2297,313230
2298,313110
2298,314994
2299,313110
2299,313110
2299,313110
2299,313210
2299,313220
2299,313230
2299,313310
2299,314999
2311,314999
2311,315210
2311,315220
2321,314999
2321,315210
2321,315220
2322,314999
2322,315210
2322,315220
2323,314999
2323,315210
2323,315990
2325,314999
2325,315210
2325,315220
2326,314999
2326,315210
2326,315220
2329,314999
2329,315210
2329,315220
2329,315280
2331,314999
2331,315210
2331,315240
2335,314999
2335,315210
2335,315240
2337,314999
2337,315210
2337,315240
2339,314999
2339,315210
2339,315240
2339,315280
2339,315990
2341,314999
2341,314999
2341,315210
2341,315210
2341,315220
2341,315240
2341,315240
2342,314999
2342,315210
2342,315240
2353,314999
2353,314999
2353,315210
2353,315210
2353,315990
2361,314999
2361,314999
2361,315210
2361,315210
2361,315220
2361,315240
2361,315240
2361,315240
2369,314999
2369,314999
2369,315210
2369,315210
2369,315220
2369,315220
2369,315220
2369,315220
2369,315240
2369,315240
2369,315240
2369,315240
2371,314999
2371,314999
2371,315210
2371,315210
2371,315280
2381,314999
2381,314999
2381,315210
2381,315210
2381,315990
2384,314999
2384,314999
2384,315210
2384,315210
2384,315220
2384,315240
2385,314999
2385,314999
2385,315210
2385,315210
2385,315220
2385,315220
2385,315240
2385,315240
2385,315240
2385,315280
2385,315990
2386,314999
2386,314999
2386,315210
2386,315210
2386,315280
2387,314999
2387,314999
2387,315210
2387,315210
2387,315990
2389,314999
2389,314999
2389,315210
2389,315210
2389,315240
2389,315280
2389,315990
2391,314120
2392,314120
2392,314910
2392,314999
2392,339994
2393,314910
2394,314910
2395,314999
2395,314999
2395,314999
2395,315210
2395,315210
2396,314999
2396,314999
2396,314999
2396,315210
2396,315210
2396,315990
2396,323113
2396,336360
2397,313220
2399,314999
2399,314999
2399,314999
2399,315210
2399,315210
2399,315990
2399,336360
2411,113310
2421,321113
2421,321912
2421,321918
2421,321920
2421,321999
2426,321113
2426,321912
2426,321918
2426,337215
2429,321113
2429,321920
2429,321999
2431,321911
2431,321918
2434,337110
2435,321211
2436,321212
2439,321213
2439,321214
2441,321920
2448,321920
2449,321920
2451,321991
2452,321992
2491,321114
2493,321219
2499,321920
2499,321999
2499,333415
2499,337125
2499,339113
2499,339999
2511,337122
2511,337215
2512,337121
2514,337121
2514,337124
2514,337215
2515,337121
2515,337910
2517,321999
2519,337125
2521,337211
2522,337214
2531,336360
2531,337127
2531,339940
2541,337110
2541,337127
2541,337212
2541,337215
2542,337127
2542,337215
2591,337920
2599,333249
2599,333415
2599,333994
2599,333997
2599,333999
2599,337127
2599,337127
2599,339113
2611,322110
2611,322121
2611,322122
2611,322130
2621,322121
2621,322122
2631,322130
2652,322219
2653,322211
2655,322219
2656,322219
2657,322212
2671,322220
2671,326112
2672,322220
2673,322220
2673,326111
2674,322220
2675,322220
2675,322230
2675,322299
2676,322291
2677,322230
2678,322230
2679,322211
2679,322220
2679,322230
2679,322299
2711,511110
2711,519130
2721,511120
2721,519130
2731,511130
2731,512230
2731,519130
2732,323117
2741,511120
2741,511130
2741,511140
2741,511199
2741,512230
2741,519130
2752,323111
2752,323111
2754,323111
2759,323111
2759,323111
2759,323111
2759,323111
2759,323113
2761,323111
2771,323111
2771,323111
2771,323111
2771,323111
2771,323113
2771,511191
2771,519130
2782,323111
2782,323111
2789,323120
2791,323120
2796,323120
2812,325180
2813,325120
2816,325130
2816,325180
2819,211130
2819,325130
2819,325180
2819,325998
2819,331313
2821,325211
2822,325212
2823,325220
2824,325220
2833,325411
2834,325412
2835,325412
2835,325413
2836,325414
2841,325611
2842,325612
2843,325613
2844,325611
2844,325620
2851,325510
2861,325194
2865,325110
2865,325130
2865,325194
2869,325110
2869,325120
2869,325180
2869,325193
2869,325194
2869,325199
2869,325998
2873,325311
2874,325312
2875,325314
2879,325320
2891,325520
2892,325920
2893,325910
2895,325180
2899,311942
2899,325199
2899,325510
2899,325998
2911,324110
2951,324121
2952,324122
2992,324191
2999,324199
3011,326211
3021,316210
3052,326220
3053,339991
3061,326291
3061,326299
3069,313320
3069,314910
3069,315280
3069,315990
3069,326199
3069,326299
3069,336612
3069,339113
3069,339920
3069,339930
3081,326113
3082,326121
3083,326130
3084,326122
3085,326160
3086,326140
3086,326150
3087,325991
3088,326191
3089,326121
3089,326122
3089,326199
3089,336612
3089,337215
3089,339113
3111,316110
3131,316998
3131,321999
3131,339993
3142,316210
3143,316210
3144,316210
3149,316210
3151,314999
3151,314999
3151,315210
3151,315210
3151,315990
3161,316998
3171,316992
3172,316998
3172,339910
3199,316998
3211,327211
3221,327213
3229,327212
3231,327215
3241,327310
3251,327120
3251,327331
3253,327120
3255,327120
3259,327120
3261,327110
3262,327110
3263,327110
3264,327110
3269,327110
3271,327331
3272,327332
3272,327390
3272,327999
3273,327320
3274,327410
3275,327420
3281,327991
3291,327910
3291,332999
3292,327999
3292,336340
3292,336350
3295,212324
3295,212325
3295,212393
3295,212399
3295,327992
3296,327993
3297,327120
3299,327110
3299,327420
3299,327999
3312,324199
3312,331110
3312,331221
3313,331110
3315,331222
3315,332618
3316,331221
3317,331210
3321,331511
3322,331511
3324,331512
3325,331513
3331,331410
3334,331313
3339,331410
3341,331314
3341,331420
3341,331492
3351,331420
3353,331315
3354,331318
3355,331318
3356,331491
3357,331318
3357,331420
3357,331491
3357,335921
3357,335929
3363,331523
3364,331523
3365,331524
3366,331529
3369,331529
3398,332811
3399,331110
3399,331221
3399,331314
3399,331420
3399,331492
3399,332618
3399,332813
3411,332431
3412,332439
3421,332215
3421,332216
3423,332216
3425,332216
3429,332439
3429,332510
3429,332722
3429,332919
3429,332999
3429,333923
3429,334519
3429,336390
3429,337215
3431,332999
3432,332913
3432,332919
3432,332999
3433,333414
3441,332312
3442,332321
3443,332313
3443,332410
3443,332420
3443,333415
3444,332321
3444,332322
3444,332439
3444,333415
3446,332323
3448,332311
3449,332114
3449,332312
3449,332323
3451,332721
3452,332722
3462,332111
3463,332112
3465,336370
3466,332119
3469,332119
3469,332215
3469,332439
3471,332813
3479,332812
3479,339910
3479,339910
3479,339910
3482,332992
3483,332993
3484,332994
3489,332994
3491,332911
3492,332912
3493,332613
3494,332919
3494,332999
3495,332613
3495,334519
3496,332215
3496,332618
3496,333924
3497,322220
3497,332999
3498,332996
3499,332117
3499,332439
3499,332510
3499,332919
3499,332999
3499,336360
3499,337215
3511,333611
3519,333618
3519,336390
3523,332216
3523,332323
3523,333111
3523,333922
3524,332216
3524,333112
3531,333120
3531,333923
3531,336510
3532,333131
3533,333132
3534,333921
3535,333922
3536,333923
3537,332439
3537,332999
3537,333924
3541,333517
3542,333517
3543,332999
3544,333511
3544,333514
3545,332216
3545,333515
3546,333991
3547,333519
3548,333992
3548,335311
3549,333519
3552,333249
3553,333243
3554,333243
3555,333244
3556,333241
3559,332410
3559,333111
3559,333242
3559,333249
3559,333249
3559,333318
3561,333914
3562,332991
3563,333912
3564,333413
3564,333413
3565,333993
3566,333612
3567,333994
3568,333613
3569,314999
3569,333414
3569,333999
3571,334111
3572,334112
3575,334118
3577,333316
3577,334118
3577,334418
3577,334613
3578,333316
3578,333318
3578,333318
3578,334118
3579,333318
3579,334519
3579,339940
3581,333318
3582,333318
3585,333415
3585,336390
3586,333914
3589,333318
3592,336310
3593,333995
3594,333996
3596,333997
3599,332710
3599,332813
3599,332999
3599,333318
3599,333999
3599,334519
3599,336390
3612,335311
3613,335313
3621,335312
3624,335991
3625,335314
3629,335999
3631,335220
3632,335220
3633,335220
3634,333414
3634,335210
3634,339999
3635,335210
3639,333249
3639,335210
3639,335220
3641,335110
3643,335931
3644,332216
3644,335932
3645,335121
3646,335122
3647,336320
3648,335129
3651,334310
3652,334614
3652,512250
3661,334210
3661,334418
3663,334220
3663,334515
3669,334290
3671,334419
3672,334412
3674,334413
3675,334416
3676,334416
3677,334416
3678,334417
3679,334220
3679,334310
3679,334418
3679,334419
3679,334515
3691,335911
3692,335912
3694,336320
3695,334613
3699,333318
3699,333618
3699,333992
3699,335129
3699,335999
3711,336111
3711,336112
3711,336120
3711,336211
3711,336992
3713,336211
3714,336211
3714,336310
3714,336320
3714,336330
3714,336340
3714,336350
3714,336390
3715,336212
3716,336213
3721,336411
3721,541713
3724,336412
3724,541713
3728,332912
3728,336411
3728,336413
3728,541713
3731,336611
3731,488390
3732,336612
3732,811490
3743,333914
3743,336510
3751,336991
3761,336414
3761,541713
3764,336415
3764,541713
3769,336419
3769,541713
3792,336214
3795,336992
3799,333924
3799,336214
3799,336390
3799,336999
3812,334511
3821,333249
3821,333415
3821,333994
3821,333997
3821,333999
3821,337127
3821,339113
3822,334512
3823,334513
3824,334514
3825,334514
3825,334515
3826,334516
3827,333314
3829,334514
3829,334519
3829,334519
3829,339112
3841,332994
3841,333249
3841,333415
3841,333994
3841,333997
3841,333999
3841,337127
3841,339112
3841,339113
3842,322291
3842,334510
3842,339113
3842,339999
3843,339114
3844,334517
3845,334510
3845,334517
3851,339113
3851,339115
3861,325992
3861,333316
3873,334519
3911,339910
3914,332215
3914,332999
3914,339910
3915,334519
3915,339910
3931,339992
3942,339930
3944,336991
3944,339930
3949,339920
3951,339940
3952,325998
3952,337127
3952,339940
3953,339940
3955,339940
3961,339910
3961,339993
3965,339993
3991,339994
3993,323113
3993,339950
3995,339995
3996,326199
3999,316110
3999,321999
3999,325998
3999,326199
3999,332215
3999,332216
3999,332812
3999,332999
3999,333318
3999,335121
3999,335210
3999,336612
3999,337127
3999,339930
3999,339999
4011,482111
4013,482112
4013,488210
4111,485111
4111,485112
4111,485113
4111,485119
4111,485999
4119,485320
4119,485410
4119,485991
4119,485999
4119,487110
4119,621910
4121,485310
4131,485210
4141,485510
4142,485510
4151,485410
4173,488490
4212,484110
4212,484210
4212,484220
4212,562111
4212,562112
4212,562119
4213,484121
4213,484122
4213,484210
4213,484230
4214,484110
4214,484210
4214,484220
4215,492110
4215,492210
4221,493130
4222,493120
4225,493110
4225,531130
4226,493110
4226,493120
4226,493190
4231,488490
4311,491110
4412,483111
4424,483113
4432,483113
4449,483211
4481,483112
4481,483114
4482,483114
4482,483212
4489,483212
4489,487210
4491,488310
4491,488320
4492,488330
4493,713930
4499,483211
4499,488310
4499,488330
4499,488390
4499,532411
4499,541990
4512,481111
4512,481112
4513,492110
4522,481211
4522,481212
4522,481219
4522,487990
4522,621910
4581,488111
4581,488119
4581,488190
4581,561720
4581,811420
4612,486110
4613,486910
4619,486990
4724,561510
4725,561520
4729,488999
4729,561599
4731,488510
4731,541614
4741,488210
4741,532411
4783,488991
4785,488390
4785,488490
4789,487110
4789,488210
4789,488999
4789,722310
4812,517312
4812,517911
4813,517311
4813,517911
4822,517311
4832,515111
4832,515112
4833,515120
4841,515210
4841,517311
4899,485310
4899,517312
4899,517410
4899,517919
4899,812990
4911,221111
4911,221112
4911,221113
4911,221114
4911,221115
4911,221116
4911,221117
4911,221118
4911,221121
4911,221122
4922,486210
4923,221210
4923,486210
4924,221210
4925,221210
4931,221111
4931,221112
4931,221113
4931,221114
4931,221115
4931,221116
4931,221117
4931,221118
4931,221121
4931,221122
4931,221210
4932,221210
4939,221111
4939,221112
4939,221113
4939,221114
4939,221115
4939,221116
4939,221117
4939,221118
4939,221121
4939,221122
4939,221210
4941,221310
4952,221320
4953,562211
4953,562212
4953,562213
4953,562219
4953,562920
4959,488119
4959,488490
4959,561710
4959,561790
4959,562910
4959,562998
4961,221330
4971,221310
5012,423110
5012,425110
5012,425120
5013,423120
5013,425110
5013,425120
5013,441310
5014,423130
5014,425110
5014,425120
5014,441320
5015,423140
5015,425110
5015,425120
5015,441310
5021,423210
5021,425110
5021,425120
5021,442110
5023,423220
5023,425110
5023,425120
5023,442210
5031,423310
5031,425110
5031,425120
5031,444110
5032,423320
5032,425110
5032,425120
5032,444190
5033,423330
5033,425110
5033,425120
5033,444190
5039,423310
5039,423390
5039,425110
5039,425120
5039,444190
5043,423410
5043,425110
5043,425120
5044,423420
5044,425110
5044,425120
5044,453210
5045,423430
5045,425110
5045,425120
5045,443142
5046,423440
5046,425110
5046,425120
5047,423450
5047,425110
5047,425120
5047,446199
5048,423460
5048,425110
5048,425120
5049,423490
5049,425110
5049,425120
5049,453210
5051,423510
5051,425110
5051,425120
5052,423520
5052,425110
5052,425120
5063,423610
5063,425110
5063,425120
5063,444190
5064,423620
5064,423720
5064,425110
5064,425120
5064,443141
5064,443142
5064,444190
5065,423690
5065,425110
5065,425120
5065,443142
5065,443142
5072,423710
5072,425110
5072,425120
5072,444130
5074,423620
5074,423720
5074,425110
5074,425120
5074,444190
5075,423730
5075,425110
5075,425120
5078,423740
5078,425110
5078,425120
5082,423810
5082,425110
5082,425120
5083,423820
5083,425110
5083,425120
5083,444210
5084,423830
5084,425110
5084,425120
5085,423830
5085,423840
5085,425110
5085,425120
5085,453998
5087,423850
5087,425110
5087,425120
5087,446120
5088,423860
5088,425110
5088,425120
5091,423910
5091,425110
5091,425120
5091,451110
5092,423920
5092,425110
5092,425120
5092,451120
5093,423930
5093,425110
5093,425120
5094,423940
5094,425110
5094,425120
5094,448310
5099,423990
5099,425110
5099,425120
5099,443142
5099,444190
5099,451110
5099,451120
5111,424110
5111,425110
5111,425120
5111,453210
5112,424120
5112,425110
5112,425120
5112,453210
5113,424130
5113,425110
5113,425120
5113,453998
5122,424210
5122,425110
5122,425120
5122,446110
5122,446120
5122,446191
5131,313310
5131,313310
5131,424310
5131,425110
5131,425120
5131,451130
5136,423910
5136,424320
5136,425110
5136,425120
5136,448110
5136,448190
5137,423910
5137,424330
5137,425110
5137,425120
5137,448120
5137,448130
5137,448190
5139,424340
5139,425110
5139,425120
5139,448210
5141,424410
5141,425110
5141,425120
5141,445110
5142,424420
5142,425110
5142,425120
5142,454390
5143,424430
5143,425110
5143,425120
5143,445299
5144,424440
5144,425110
5144,425120
5144,445210
5145,424450
5145,425110
5145,425120
5145,445292
5146,424460
5146,425110
5146,425120
5146,445220
5147,311612
5147,424470
5147,425110
5147,425120
5147,445210
5148,424480
5148,425110
5148,425120
5148,445230
5149,312112
5149,424490
5149,425110
5149,425120
5149,445299
5149,453910
5153,424510
5153,425110
5153,425120
5153,444220
5154,424520
5154,425110
5154,425120
5159,424590
5159,425110
5159,425120
5159,444220
5162,424610
5162,425110
5162,425120
5162,453998
5169,424690
5169,425110
5169,425120
5171,424710
5171,454310
5171,454310
5172,424720
5172,425110
5172,425120
5181,424810
5181,425110
5181,425120
5181,445310
5182,424820
5182,425110
5182,425120
5182,445310
5191,424910
5191,425110
5191,425120
5191,444220
5192,424920
5192,425110
5192,425120
5192,451211
5193,424930
5193,425110
5193,425120
5193,444220
5194,424940
5194,425110
5194,425120
5194,453991
5198,424950
5198,425110
5198,425120
5199,424310
5199,424340
5199,424610
5199,424990
5199,425110
5199,425120
5199,453220
5199,453910
5199,453991
5199,541890
5211,444110
5211,444190
5231,444120
5231,444190
5251,444130
5261,444210
5261,444220
5271,453930
5311,452210
5311,452311
5331,452319
5399,452210
5399,452311
5399,452319
5411,445110
5411,445120
5411,447110
5411,452210
5411,452311
5411,454390
5421,445210
5421,445220
5421,454390
5431,445230
5431,454390
5441,311340
5441,311352
5441,445292
5451,445299
5461,311811
5461,445291
5461,722515
5499,445210
5499,445299
5499,446191
5511,441110
5521,441120
5531,441310
5531,441320
5531,452319
5541,447110
5541,447190
5551,441222
5561,441210
5571,441228
5599,441228
5611,448110
5611,448150
5621,448120
5621,448190
5632,448150
5632,448190
5641,448130
5651,448140
5661,448210
5699,315220
5699,315220
5699,315240
5699,448150
5699,448190
5712,337110
5712,337121
5712,337122
5712,442110
5713,442210
5714,314120
5714,314120
5714,442291
5714,451130
5719,327110
5719,442291
5719,442299
5722,443141
5731,441310
5731,443142
5734,443142
5735,443142
5736,451140
5812,711110
5812,722310
5812,722320
5812,722511
5812,722513
5812,722514
5812,722515
5813,722410
5912,446110
5921,445310
5932,453310
5932,522298
5941,451110
5942,451211
5943,453210
5944,448310
5945,451120
5946,443142
5947,453220
5948,448320
5949,451130
5961,454110
5962,454210
5963,454390
5963,722330
5983,454310
5984,454310
5989,454310
5992,453110
5993,453991
5994,451212
5995,339115
5995,446130
5999,339113
5999,443142
5999,446120
5999,446199
5999,453910
5999,453920
5999,453998
6011,521110
6019,522298
6021,522110
6021,522210
6022,522110
6022,522190
6022,522210
6029,522110
6035,522120
6036,522120
6061,522130
6062,522130
6081,522110
6081,522293
6081,522298
6082,522293
6082,522298
6091,523991
6099,522320
6099,522390
6099,523130
6099,523991
6111,522292
6111,522293
6111,522294
6111,522298
6141,522210
6141,522220
6141,522291
6141,522298
6153,522210
6153,522220
6153,522298
6153,522320
6153,523910
6159,522220
6159,522292
6159,522293
6159,522294
6159,522298
6162,522292
6162,522390
6163,522310
6211,523110
6211,523120
6211,523910
6211,523999
6221,523130
6221,523140
6231,523210
6282,523920
6282,523930
6289,523991
6289,523999
6311,524113
6311,524128
6311,524130
6321,524113
6321,524114
6321,524130
6321,525190
6324,524114
6324,524130
6324,525190
6331,524126
6331,524128
6331,524130
6331,525190
6351,524126
6351,524128
6351,524130
6361,524127
6361,524130
6371,523920
6371,524292
6371,525110
6371,525120
6371,525990
6399,524128
6411,524210
6411,524291
6411,524292
6411,524298
6512,531120
6512,711310
6513,531110
6514,531110
6515,531190
6517,531190
6519,531190
6531,531110
6531,531210
6531,531311
6531,531312
6531,531320
6531,531390
6531,812220
6531,813990
6541,541191
6552,237210
6553,812220
6712,551111
6719,551112
6722,525910
6726,525990
6732,813211
6733,523920
6733,523991
6733,525190
6733,525920
6792,523910
6792,533110
6794,533110
6798,525990
6798,531110
6798,531120
6798,531130
6798,531190
6799,523130
6799,523910
6799,523920
7011,721110
7011,721120
7011,721191
7011,721199
7021,721310
7032,721214
7033,721211
7041,721110
7041,721310
7211,812320
7212,812320
7213,812331
7215,812310
7216,812320
7217,561740
7218,812332
7219,811490
7219,812320
7219,812331
7221,541921
7231,611511
7231,812112
7231,812113
7241,611511
7241,812111
7251,811430
7251,812320
7251,812990
7261,812210
7261,812220
7291,541213
7299,532281
7299,541990
7299,561311
7299,561990
7299,812191
7299,812199
7299,812930
7299,812990
7311,541810
7312,541850
7313,541840
7319,481219
7319,541830
7319,541850
7319,541870
7319,541890
7322,561440
7323,561450
7331,511140
7331,541860
7334,323111
7334,561439
7335,481219
7335,541922
7336,541430
7338,561410
7338,561492
7342,561710
7342,561720
7349,561720
7349,561790
7352,532283
7352,532490
7353,238910
7353,238990
7353,532412
7359,532210
7359,532289
7359,532310
7359,532411
7359,532412
7359,532420
7359,532490
7359,562991
7361,541612
7361,561311
7361,561312
7363,561320
7363,561330
7371,541511
7372,334614
7372,511210
7373,541512
7374,518210
7375,517311
7375,517919
7376,541513
7377,532420
7378,443142
7378,811212
7379,518210
7379,541512
7379,541519
7381,561611
7381,561612
7381,561613
7382,561621
7383,519110
7383,711510
7384,812921
7384,812922
7389,312230
7389,313310
7389,314999
7389,325998
7389,425120
7389,488490
7389,491110
7389,512240
7389,512290
7389,518210
7389,519190
7389,522320
7389,541199
7389,541340
7389,541350
7389,541370
7389,541410
7389,541420
7389,541490
7389,541870
7389,541890
7389,541930
7389,541990
7389,561410
7389,561421
7389,561422
7389,561431
7389,561439
7389,561440
7389,561491
7389,561499
7389,561591
7389,561599
7389,561790
7389,561910
7389,561920
7389,561990
7389,711310
7389,711320
7389,711410
7389,812320
7389,812990
7513,532120
7514,532111
7515,532112
7519,532120
7521,812930
7532,811121
7533,811112
7534,326212
7534,811198
7536,811122
7537,811113
7538,811111
7539,811118
7539,811198
7542,811192
7549,488410
7549,811122
7549,811191
7549,811198
7622,238290
7622,443142
7622,811211
7622,811213
7623,443141
7623,811310
7623,811412
7629,443141
7629,811211
7629,811212
7629,811213
7629,811219
7629,811412
7631,448310
7631,811490
7641,811420
7692,811310
7694,335312
7694,811310
7699,115210
7699,238220
7699,442299
7699,444130
7699,444210
7699,451110
7699,488390
7699,561622
7699,561790
7699,562991
7699,562998
7699,711510
7699,811211
7699,811212
7699,811219
7699,811310
7699,811411
7699,811412
7699,811430
7699,811490
7812,512110
7819,334614
7819,512191
7819,512199
7819,532281
7819,532490
7819,541214
7819,541690
7819,561311
7819,711510
7822,423990
7822,512120
7829,512120
7829,512199
7829,519120
7832,512131
7833,512132
7841,532282
7911,611610
7911,713990
7922,512290
7922,532490
7922,561311
7922,561599
7922,711110
7922,711120
7922,711310
7922,711320
7922,711410
7922,711510
7929,711130
7929,711190
7929,711510
7933,713950
7941,711211
7941,711310
7941,711320
7941,711410
7948,711212
7948,711219
7991,713940
7992,713910
7993,713120
7993,713290
7993,713990
7996,713110
7997,481219
7997,488119
7997,713910
7997,713940
7997,713990
7999,487110
7999,487210
7999,487990
7999,532284
7999,561599
7999,611620
7999,611699
7999,711190
7999,711219
7999,711310
7999,711320
7999,712190
7999,713210
7999,713290
7999,713920
7999,713940
7999,713990
7999,812990
8011,621111
8011,621112
8011,621491
8011,621493
8021,621210
8031,621111
8031,621112
8041,621310
8042,621320
8043,621391
8049,621330
8049,621340
8049,621399
8051,623110
8051,623210
8051,623311
8052,623110
8052,623210
8052,623311
8059,623110
8059,623210
8059,623311
8062,622110
8063,622210
8069,622110
8069,622210
8069,622310
8071,621511
8071,621512
8072,339116
8082,621610
8092,621492
8093,621399
8093,621410
8093,621420
8093,621498
8099,541430
8099,541922
8099,621410
8099,621991
8099,621999
8111,541110
8211,611110
8221,611310
8222,611210
8231,519120
8243,611420
8243,611519
8244,611410
8249,611512
8249,611513
8249,611519
8299,611430
8299,611512
8299,611519
8299,611610
8299,611620
8299,611630
8299,611691
8299,611692
8299,611699
8299,611710
8322,624110
8322,624120
8322,624190
8322,624210
8322,624221
8322,624229
8322,624230
8322,922150
8331,624310
8351,624410
8361,623210
8361,623220
8361,623312
8361,623990
8399,813212
8399,813219
8399,813311
8399,813312
8399,813319
8412,712110
8412,712120
8422,712130
8422,712190
8611,813910
8621,813920
8631,813930
8641,813319
8641,813410
8641,813990
8641,921150
8651,813940
8661,813110
8699,561599
8699,813312
8699,813410
8699,813910
8699,813990
8711,541330
8712,541310
8713,541360
8713,541370
8721,541211
8721,541214
8721,541219
8731,541713
8731,541714
8731,541715
8732,541720
8732,541910
8733,541713
8733,541714
8733,541715
8733,541720
8734,541380
8734,541940
8741,236115
8741,236116
8741,236118
8741,236210
8741,236220
8741,237110
8741,237120
8741,237130
8741,237310
8741,237990
8741,561110
8742,541611
8742,541612
8742,541613
8742,541614
8742,561312
8743,541820
8744,561210
8748,541320
8748,541330
8748,541618
8748,541690
8748,611710
8811,814110
8999,512230
8999,512250
8999,519130
8999,519130
8999,541612
8999,541620
8999,541690
8999,541990
8999,561312
8999,711510
9111,921110
9121,921120
9131,921140
9199,921190
9211,922110
9221,922120
9222,922130
9223,922140
9224,922160
9229,922190
9311,921130
9411,923110
9431,923120
9441,923130
9451,923140
9511,924110
9512,924120
9531,925110
9532,925120
9611,926110
9621,488111
9621,926120
9631,926130
9641,926140
9651,926150
9661,927110
9711,928110
9721,928120
Aux,112130
Aux,541120
Aux,551114